Well,X,Y,NTG
201-901,201,901,0.24206666666666662
201-902,201,902,0.24300000000000002
201-903,201,903,0.23760697674418607
201-904,201,904,0.23118444444444447
201-905,201,905,0.2270174089068826
201-906,201,906,0.22226145251396648
201-908,201,908,0.22765135135135134
201-909,201,909,0.25796923076923084
201-910,201,910,0.28073333333333333
201-911,201,911,0.2930571428571429
201-912,201,912,0.3141500000000001
201-913,201,913,0.33445555555555556
201-915,201,915,0.35509113924050634
201-916,201,916,0.3765345132743363
201-917,201,917,0.3761716363636363
201-918,201,918,0.3764
201-919,201,919,0.3904153846153846
201-920,201,920,0.40575
201-921,201,921,0.4107254545454545
201-922,201,922,0.4164560000000001
201-923,201,923,0.41664285714285715
201-925,201,925,0.41461999999999993
201-926,201,926,0.40861621621621624
201-927,201,927,0.3942491228070176
201-928,201,928,0.3836870967741936
201-929,201,929,0.35761917808219185
201-930,201,930,0.35847142857142855
202-901,202,901,0.2438864864864865
202-902,202,902,0.24593076923076912
202-903,202,903,0.23934393530997305
202-904,202,904,0.2329336134453781
202-905,202,905,0.225170796460177
202-906,202,906,0.22649090909090908
202-907,202,907,0.2178818181818182
202-908,202,908,0.2248
202-909,202,909,0.2575794117647059
202-910,202,910,0.27721666666666667
202-911,202,911,0.28955744680851064
202-912,202,912,0.3086542372881356
202-913,202,913,0.32360645161290325
202-914,202,914,0.3454285714285715
202-915,202,915,0.3577411764705882
202-916,202,916,0.38009999999999994
202-917,202,917,0.37021059751972946
202-918,202,918,0.3742061224489796
202-919,202,919,0.3783076923076924
202-920,202,920,0.40544375000000005
202-921,202,921,0.4125639175257732
202-923,202,923,0.4124410256410257
202-924,202,924,0.4162142857142857
202-926,202,926,0.404975
202-927,202,927,0.38307857142857143
202-928,202,928,0.3707384615384616
202-929,202,929,0.3460142857142858
202-930,202,930,0.3329
203-901,203,901,0.2473121568627451
203-903,203,903,0.2428636363636364
203-904,203,904,0.2336
203-905,203,905,0.2310333333333333
203-907,203,907,0.22074642857142857
203-908,203,908,0.22417826086956524
203-909,203,909,0.25007796610169497
203-910,203,910,0.2794684210526316
203-911,203,911,0.2954
203-912,203,912,0.30105833333333337
203-913,203,913,0.31802727272727277
203-914,203,914,0.338076
203-915,203,915,0.35435714285714276
203-916,203,916,0.37453981191222574
203-917,203,917,0.3588772727272727
203-918,203,918,0.3570654929577464
203-919,203,919,0.36116923076923074
203-920,203,920,0.3828250000000001
203-921,203,921,0.3991424354243543
203-922,203,922,0.4075590909090909
203-923,203,923,0.3989666666666667
203-924,203,924,0.40800434782608697
203-925,203,925,0.40785000000000005
203-926,203,926,0.38616216216216226
203-927,203,927,0.3690024390243902
203-928,203,928,0.34998571428571434
203-930,203,930,0.328265
204-901,204,901,0.24136
204-902,204,902,0.2438545454545455
204-903,204,903,0.23073846153846156
204-905,204,905,0.2218454545454546
204-906,204,906,0.2216418604651163
204-908,204,908,0.21782608695652175
204-909,204,909,0.25906216216216216
204-910,204,910,0.28417272727272735
204-911,204,911,0.2916692307692308
204-912,204,912,0.29285454545454553
204-913,204,913,0.3101
204-914,204,914,0.33235522388059696
204-915,204,915,0.3505473684210526
204-916,204,916,0.3670823529411764
204-917,204,917,0.34369194630872485
204-918,204,918,0.331423076923077
204-919,204,919,0.3362118644067798
204-920,204,920,0.36802222222222225
204-921,204,921,0.3807238095238096
204-922,204,922,0.39410000000000006
204-923,204,923,0.3846090909090909
204-924,204,924,0.39435833333333337
204-926,204,926,0.38368571428571435
204-927,204,927,0.3595016393442623
204-928,204,928,0.34090000000000004
204-929,204,929,0.33100000000000007
204-930,204,930,0.3135
205-901,205,901,0.23982857142857145
205-902,205,902,0.24136
205-903,205,903,0.23547777777777779
205-904,205,904,0.227325
205-905,205,905,0.22054533333333334
205-906,205,906,0.21837027027027028
205-907,205,907,0.21171034482758624
205-908,205,908,0.23003103448275863
205-909,205,909,0.26386
205-910,205,910,0.29381666666666667
205-912,205,912,0.294223076923077
205-913,205,913,0.30859375
205-914,205,914,0.32431774193548396
205-915,205,915,0.34235762711864415
205-917,205,917,0.33525
205-918,205,918,0.32380588235294117
205-919,205,919,0.32291538461538466
205-920,205,920,0.33180000000000004
205-921,205,921,0.36161111111111116
205-922,205,922,0.36544705882352946
205-924,205,924,0.37306
205-925,205,925,0.38174285714285716
205-926,205,926,0.35620000000000007
205-928,205,928,0.32726666666666665
205-929,205,929,0.2958
