Well,X,Y,NTG
201-901,201,901,0.23369192234132977
201-902,201,902,0.23468917201007253
201-903,201,903,0.2306742410793469
201-904,201,904,0.23233532583383695
201-905,201,905,0.22068689516760262
201-906,201,906,0.21479588721466758
201-908,201,908,0.21771384571302063
201-909,201,909,0.23311479452947706
201-910,201,910,0.27511455869913515
201-911,201,911,0.3014831009887408
201-912,201,912,0.32724420093070766
201-913,201,913,0.34222146289492517
201-915,201,915,0.3543328820458451
201-916,201,916,0.3538125265586003
201-917,201,917,0.3604633574599922
201-918,201,918,0.3858553611614918
201-919,201,919,0.407079312137452
201-920,201,920,0.41689023722304014
201-921,201,921,0.41802690060315273
201-922,201,922,0.4211348276306146
201-923,201,923,0.42134635742131915
201-925,201,925,0.41622271128564875
201-926,201,926,0.4099063675650994
201-927,201,927,0.38464283133220145
201-928,201,928,0.37508318854958317
201-929,201,929,0.3590584436370101
201-930,201,930,0.3493742661679436
202-901,202,901,0.23814081962857445
202-902,202,902,0.24157356176017167
202-903,202,903,0.23477597772639314
202-904,202,904,0.22929518688509185
202-905,202,905,0.22732779586040497
202-906,202,906,0.22495589769283275
202-907,202,907,0.2143193559291702
202-908,202,908,0.21781533425065538
202-909,202,909,0.22426486499713782
202-910,202,910,0.25775200089114897
202-911,202,911,0.3145706430672084
202-912,202,912,0.32556342520549153
202-913,202,913,0.3392204682751112
202-914,202,914,0.34974702474009006
202-915,202,915,0.35084411960947676
202-916,202,916,0.3507381516329437
202-917,202,917,0.35178084057745806
202-918,202,918,0.37362674318390515
202-919,202,919,0.3833825998816979
202-920,202,920,0.41472081975979486
202-921,202,921,0.41792711335880806
202-923,202,923,0.41754689890589985
202-924,202,924,0.41574574124685926
202-926,202,926,0.402705765841594
202-927,202,927,0.3770336956071744
202-928,202,928,0.3663379390908598
202-929,202,929,0.3444164461343626
202-930,202,930,0.32712047377904035
203-901,203,901,0.24215639291112934
203-903,203,903,0.23684015602691913
203-904,203,904,0.2261207056630319
203-905,203,905,0.23101473955875518
203-907,203,907,0.21836357624872274
203-908,203,908,0.21958187829619033
203-909,203,909,0.22467810642561817
203-910,203,910,0.26365366373473215
203-911,203,911,0.2975254922560414
203-912,203,912,0.31958282149070244
203-913,203,913,0.3322482048757857
203-914,203,914,0.34249363342383665
203-915,203,915,0.3468209934845032
203-916,203,916,0.3448944007523214
203-917,203,917,0.3473445398427857
203-918,203,918,0.3601911450462254
203-919,203,919,0.3637928713051947
203-920,203,920,0.38555704287257747
203-921,203,921,0.39917864576779855
203-922,203,922,0.4028387257792804
203-923,203,923,0.3939773298720206
203-924,203,924,0.4036817383257914
203-925,203,925,0.40341441943424367
203-926,203,926,0.3916038038131821
203-927,203,927,0.3557266178941762
203-928,203,928,0.34644306830974547
203-930,203,930,0.31836822255067226
204-901,204,901,0.23533715065901747
204-902,204,902,0.23752911275392655
204-903,204,903,0.22632603798103165
204-905,204,905,0.2214535313739825
204-906,204,906,0.2191140044061941
204-908,204,908,0.2140179597580545
204-909,204,909,0.24932140164468708
204-910,204,910,0.28290339349023447
204-911,204,911,0.2893505084270869
204-912,204,912,0.2953875555182069
204-913,204,913,0.316734353891301
204-914,204,914,0.3318528241483484
204-915,204,915,0.33685156145170775
204-916,204,916,0.3367773122668598
204-917,204,917,0.334609159460928
204-918,204,918,0.3312865767053487
204-919,204,919,0.33268460053984134
204-920,204,920,0.37126496033282413
204-921,204,921,0.3824747932957167
