Well,X,Y,NTG
201-901,201,901,0.2212091176470588
201-902,201,902,0.22332074322887543
201-903,201,903,0.21824715389081395
201-904,201,904,0.20865198686371098
201-905,201,905,0.20874084792415326
201-906,201,906,0.20669330910821965
201-908,201,908,0.21019429670329673
201-909,201,909,0.23575669859552217
201-910,201,910,0.2822260725940726
201-911,201,911,0.31709719063355674
201-912,201,912,0.3278889048896335
201-913,201,913,0.34214421052631583
201-915,201,915,0.3547846459645964
201-916,201,916,0.35567804554865423
201-917,201,917,0.362152
201-918,201,918,0.382694895489549
201-919,201,919,0.4020029556520595
201-920,201,920,0.4154440372960373
201-921,201,921,0.41694594805373814
201-922,201,922,0.42036515632515636
201-923,201,923,0.4200215138929135
201-925,201,925,0.41725931752458073
201-926,201,926,0.41316210168916057
201-927,201,927,0.3934346666666667
201-928,201,928,0.3797261115811318
201-929,201,929,0.35639012987012986
201-930,201,930,0.342217
202-901,202,901,0.22768126844617714
202-902,202,902,0.23125227545464638
202-903,202,903,0.2246306852405945
202-904,202,904,0.21943031393337847
202-905,202,905,0.21445259234510156
202-906,202,906,0.213882280141844
202-907,202,907,0.20194057575757576
202-908,202,908,0.20821134848484846
202-909,202,909,0.23231521545121545
202-910,202,910,0.24298754901960784
202-911,202,911,0.3132460394990786
202-912,202,912,0.3246259917535774
202-913,202,913,0.3409861981473395
202-914,202,914,0.3502461693544551
202-915,202,915,0.3522001233620965
202-916,202,916,0.3532215384615384
202-917,202,917,0.3516167741935484
202-918,202,918,0.381007168627451
202-919,202,919,0.39434030816495336
202-920,202,920,0.41369492890910287
202-921,202,921,0.416405097505669
202-923,202,923,0.41523020363808183
202-924,202,924,0.41654527260179436
202-926,202,926,0.40759786470775605
202-927,202,927,0.38024088888888896
202-928,202,928,0.3671628743805215
202-929,202,929,0.33978609363745493
202-930,202,930,0.3224579437229438
203-901,203,901,0.23132604430112935
203-903,203,903,0.22754225156990793
203-904,203,904,0.21840073317191283
203-905,203,905,0.22069385046326223
203-907,203,907,0.20564898268398268
203-908,203,908,0.211357442687747
203-909,203,909,0.22945016605616608
203-910,203,910,0.25488207634470794
203-911,203,911,0.2842101349325337
203-912,203,912,0.3190104287992709
203-913,203,913,0.33604739925373134
203-914,203,914,0.34729033771929824
203-915,203,915,0.3494966666666667
203-916,203,916,0.3490550303030303
203-917,203,917,0.34911141016793185
203-918,203,918,0.3545416222012014
203-919,203,919,0.36292002674800294
203-920,203,920,0.3833077564102564
203-921,203,921,0.4049797458795431
203-922,203,922,0.40785856062291437
203-923,203,923,0.40171842424242427
203-924,203,924,0.40824023281596455
203-925,203,925,0.40561941232680365
203-926,203,926,0.3874688888888889
203-927,203,927,0.3470900809342308
203-928,203,928,0.33002757682084
203-930,203,930,0.29878870129870133
204-901,204,901,0.2225908103592314
204-902,204,902,0.22567348097493606
204-903,204,903,0.21667131406371407
204-905,204,905,0.21012329581529582
204-906,204,906,0.2066872727272727
204-908,204,908,0.20687122580645162
204-909,204,909,0.23745926367643247
204-910,204,910,0.257000211258697
204-911,204,911,0.26670652415496215
204-912,204,912,0.2793381714953661
204-913,204,913,0.3242895641025641
204-914,204,914,0.3424955555555556
204-915,204,915,0.34451437156323644
204-916,204,916,0.344253329210472
204-917,204,917,0.33833129883790825
204-918,204,918,0.33156739625967646
204-919,204,919,0.3357350007648103
204-920,204,920,0.3676769868173258
204-921,204,921,0.38787153846153843
204-922,204,922,0.39959305833583797
204-923,204,923,0.39135448052055505
204-924,204,924,0.3952827954545455
204-926,204,926,0.36032267472640356
204-927,204,927,0.3342852307692308
204-928,204,928,0.3228034687068858
204-929,204,929,0.30650843697478997
204-930,204,930,0.28743638095238094
205-901,205,901,0.22008885969934844
205-902,205,902,0.2215972415763905
205-903,205,903,0.21641598699334713
205-904,205,904,0.21178709068709067
205-905,205,905,0.2070818033998522
205-906,205,906,0.2056364308300395
205-907,205,907,0.19965289247311827
205-908,205,908,0.2179004065335753
205-909,205,909,0.25358537254901964
205-910,205,910,0.27986119389382547
205-912,205,912,0.3033769842899036
205-913,205,913,0.31977045454545455
205-914,205,914,0.3319301068376068
205-915,205,915,0.3454915066276803
205-917,205,917,0.33777119016793317
205-918,205,918,0.3262562698954572
205-919,205,919,0.33084609668109677
205-920,205,920,0.3409610632622688
205-921,205,921,0.3640218670168126
205-922,205,922,0.3799288047400361
205-924,205,924,0.37262534280936455
205-925,205,925,0.36214911803297667
205-926,205,926,0.3382308436724566
205-928,205,928,0.31189103065355694
205-929,205,929,0.2993102873900293
205-930,205,930,0.2785916394194041
206-901,206,901,0.21851048822531113
206-902,206,902,0.21934029559678433
206-903,206,903,0.2156439614058258
206-904,206,904,0.20990134284016637
206-905,206,905,0.2065481282051282
206-906,206,906,0.2088295223880597
206-907,206,907,0.20899816091954024
206-908,206,908,0.22633980952380955
206-909,206,909,0.26304000000000005
206-910,206,910,0.2914603437223696
206-911,206,911,0.2898001158301159
206-913,206,913,0.3213403548387097
206-915,206,915,0.35049333800186744
206-916,206,916,0.3515285953458306
206-917,206,917,0.3411151538461539
206-918,206,918,0.3264716830813865
206-919,206,919,0.3212453663570692
206-920,206,920,0.33224504134557326
206-921,206,921,0.34501187186845256
206-922,206,922,0.36151073679222934
206-923,206,923,0.36042800984962753
206-924,206,924,0.3448752885391445
206-925,206,925,0.3316204444444445
206-926,206,926,0.3200859532163743
206-927,206,927,0.3122880674880675
206-928,206,928,0.29664947542653425
206-930,206,930,0.27251369230769235
207-901,207,901,0.2378883619856408
207-902,207,902,0.23743148503784078
207-903,207,903,0.23281605265255037
207-904,207,904,0.23595737924560503
207-905,207,905,0.2091219814241486
207-906,207,906,0.21635536842105263
207-908,207,908,0.23905625396825397
207-909,207,909,0.2691518724451877
207-911,207,911,0.30214185960591133
207-913,207,913,0.3169366666666667
207-914,207,914,0.34668858974358974
207-915,207,915,0.3591166007326007
207-916,207,916,0.36966481818181823
207-917,207,917,0.35122188888888894
207-918,207,918,0.3343898947368421
207-920,207,920,0.33360481403607833
207-921,207,921,0.32865381550938694
207-922,207,922,0.3439619364130114
207-923,207,923,0.3329621706051552
207-924,207,924,0.3317546744959245
207-925,207,925,0.32287447819548876
207-926,207,926,0.31261844945054945
207-928,207,928,0.28645659740259743
207-929,207,929,0.2736533553113553
208-901,208,901,0.24791823827178514
208-902,208,902,0.24782869264069265
208-903,208,903,0.25377359531772575
208-904,208,904,0.25192193779904304
208-905,208,905,0.2410979316888045
208-906,208,906,0.21704000000000004
208-907,208,907,0.22116745454545456
208-908,208,908,0.23790285714285714
208-909,208,909,0.2639986153846154
208-910,208,910,0.30743416666666673
208-911,208,911,0.30754117464624925
208-912,208,912,0.3163991332442068
208-913,208,913,0.350376893939394
