Well,X,Y,NTG
201-901,201,901,0.27606549999999996
201-902,201,902,0.25991806249999994
201-903,201,903,0.2644459791666667
201-904,201,904,0.24580261111111107
201-905,201,905,0.24409469444444437
201-906,201,906,0.23935818253968252
201-908,201,908,0.253902433982684
201-909,201,909,0.26126378814935064
201-910,201,910,0.28312089926046174
201-911,201,911,0.29618682593795087
201-912,201,912,0.31282773149350646
201-913,201,913,0.34136570768398256
201-915,201,915,0.3684560345238095
201-916,201,916,0.3726681467032967
201-917,201,917,0.37249851737429235
201-918,201,918,0.3739481304695304
201-919,201,919,0.37684490130286374
201-920,201,920,0.38263702927905424
201-921,201,921,0.3885760542790542
201-922,201,922,0.41156063761238737
201-923,201,923,0.4129903170995669
201-925,201,925,0.411379692099567
201-926,201,926,0.3973212040043289
201-927,201,927,0.3940961309523809
201-928,201,928,0.38534529761904757
201-929,201,929,0.37863318452380945
201-930,201,930,0.36863761904761894
202-901,202,901,0.2736867499999999
202-902,202,902,0.25753931249999995
202-903,202,903,0.2609830625
202-904,202,904,0.2423396944444444
202-905,202,905,0.2406317777777777
202-906,202,906,0.23589526587301585
202-907,202,907,0.21858879761904762
202-908,202,908,0.25137035064935065
202-909,202,909,0.26104553814935066
202-910,202,910,0.27948698866288935
202-911,202,911,0.29255291534037847
202-912,202,912,0.30957507089593406
202-913,202,913,0.3381130470864102
202-914,202,914,0.35434022511671326
202-915,202,915,0.36520337392623714
202-916,202,916,0.36750715277239104
202-917,202,917,0.3669250234433866
202-918,202,918,0.365626719871958
202-919,202,919,0.36852349070529133
202-920,202,920,0.37499347582433895
202-921,202,921,0.3809325008243389
202-923,202,923,0.40493676364485165
202-924,202,924,0.405708846978185
202-926,202,926,0.38926765054961365
202-927,202,927,0.38604257749766563
202-928,202,928,0.3784534108309989
202-929,202,929,0.37174129773576087
202-930,202,930,0.36174573225957035
203-901,203,901,0.2808528333333333
203-903,203,903,0.2641333125
203-904,203,904,0.2454899444444444
203-905,203,905,0.2445751527777777
203-907,203,907,0.22253217261904762
203-908,203,908,0.2536671185064935
203-909,203,909,0.2654138060064935
203-910,203,910,0.2829177565200322
203-911,203,911,0.2993573290308547
203-912,203,912,0.3075147876167133
203-913,203,913,0.3345391804738561
203-914,203,914,0.3507663585041592
203-915,203,915,0.36426370428338
203-916,203,916,0.3665674831295339
203-917,203,917,0.3628717228481486
203-918,203,918,0.35669939844338655
203-919,203,919,0.3531235978481485
203-920,203,920,0.3601446246338628
203-921,203,921,0.3612031734433866
203-922,203,922,0.37726463177672
203-923,203,923,0.37853181126389945
203-924,203,924,0.3796211445972328
203-925,203,925,0.3758609362638995
203-926,203,926,0.36249619816866147
203-927,203,927,0.35706462511671333
203-928,203,928,0.3494754584500466
203-930,203,930,0.3347905774976656
204-901,204,901,0.28013390476190475
204-902,204,902,0.2583014672619047
204-903,204,903,0.2597968839285714
204-905,204,905,0.2414534117063491
204-906,204,906,0.23868861032790303
204-908,204,908,0.24949771296138074
204-909,204,909,0.26124440046138075
204-910,204,910,0.27744876764158616
204-911,204,911,0.2938223401524086
204-912,204,912,0.2988789654049339
204-913,204,913,0.33038291183350527
204-914,204,914,0.3469618168374926
204-915,204,915,0.36434432928338
204-916,204,916,0.3649575934236515
204-917,204,917,0.3627446456422662
204-918,204,918,0.35315298790417093
204-919,204,919,0.3495771873089329
204-920,204,920,0.3565982140946472
204-921,204,921,0.357656762904171
204-922,204,922,0.3685674859433866
204-923,204,923,0.3698346654305661
204-924,204,924,0.3732387487638995
204-926,204,926,0.36535890650199476
204-927,204,927,0.3599273334500467
204-928,204,928,0.35048441678337994
204-929,204,929,0.3420064703548086
204-930,204,930,0.3340337024976656
205-901,205,901,0.2881251547619047
205-902,205,902,0.2657377172619047
205-903,205,903,0.2746552172619048
205-904,205,904,0.2579902867063492
205-905,205,905,0.2589602867063492
205-906,205,906,0.25436756866123644
205-907,205,907,0.23384880874060152
205-908,205,908,0.2619064629613807
205-909,205,909,0.2739614837947141
205-910,205,910,0.29385801764158614
205-912,205,912,0.3114070904049339
205-913,205,913,0.3323793701668386
205-914,205,914,0.34523577517082593
205-915,205,915,0.3608884346755369
205-917,205,917,0.35588645936775637
205-918,205,918,0.3446718849629944
205-919,205,919,0.3396598343677563
205-920,205,920,0.3447787778201373
205-921,205,921,0.34405982662966106
205-922,205,922,0.35385867466887677
205-924,205,924,0.3533559791560562
205-925,205,925,0.35537879165605624
205-926,205,926,0.34424822022748486
205-928,205,928,0.3380128971755368
205-929,205,929,0.33118328408029873
205-930,205,930,0.3232105162231558
206-901,206,901,0.290995988095238
206-902,206,902,0.269764800595238
206-903,206,903,0.27974730059523806
206-904,206,904,0.2630823700396826
206-905,206,905,0.26405237003968246
206-906,206,906,0.25568840199456977
206-907,206,907,0.23297360040726817
206-908,206,908,0.26126375462804735
206-909,206,909,0.27410940046138077
206-910,206,910,0.29400593430825284
206-911,206,911,0.311201298485742
206-913,206,913,0.3273405487382672
206-915,206,915,0.35584961324696546
206-916,206,916,0.3559349607205703
206-917,206,917,0.35084763793918494
206-918,206,918,0.3356634802010897
