Well,X,Y,NTG
201-901,201,901,0.2713819371522874
201-902,201,902,0.2713819371522874
201-903,201,903,0.2713819371522874
201-904,201,904,0.26733252678483405
201-905,201,905,0.26733252678483405
201-906,201,906,0.2565636114348249
201-908,201,908,0.2565636114348249
201-909,201,909,0.2565636114348249
201-910,201,910,0.2794857919004852
201-911,201,911,0.3759212739395131
201-912,201,912,0.3759212739395131
201-913,201,913,0.3759212739395131
201-915,201,915,0.3759212739395131
201-916,201,916,0.3759212739395131
201-917,201,917,0.3759212739395131
201-918,201,918,0.3759212739395131
201-919,201,919,0.3759212739395131
201-920,201,920,0.3759212739395131
201-921,201,921,0.3759212739395131
201-922,201,922,0.3759212739395131
201-923,201,923,0.3759212739395131
201-925,201,925,0.37136513994377984
201-926,201,926,0.3655962261821846
201-927,201,927,0.3655962261821846
201-928,201,928,0.3655962261821846
201-929,201,929,0.3655962261821846
201-930,201,930,0.3655962261821846
202-901,202,901,0.2713819371522874
202-902,202,902,0.2713819371522874
202-903,202,903,0.2713819371522874
202-904,202,904,0.26733252678483405
202-905,202,905,0.26733252678483405
202-906,202,906,0.2565636114348249
202-907,202,907,0.2565636114348249
202-908,202,908,0.2565636114348249
202-909,202,909,0.2565636114348249
202-910,202,910,0.2812116491504852
202-911,202,911,0.3813095735528464
202-912,202,912,0.3813095735528464
202-913,202,913,0.3813095735528464
202-914,202,914,0.3813095735528464
202-915,202,915,0.3813095735528464
202-916,202,916,0.3813095735528464
202-917,202,917,0.3813095735528464
202-918,202,918,0.3813095735528464
202-919,202,919,0.3813095735528464
202-920,202,920,0.3813095735528464
202-921,202,921,0.3813095735528464
202-923,202,923,0.3813095735528464
202-924,202,924,0.38414719271951303
202-926,202,926,0.37098452579551794
202-927,202,927,0.37098452579551794
202-928,202,928,0.37098452579551794
202-929,202,929,0.37098452579551794
202-930,202,930,0.37098452579551794
203-901,203,901,0.2713819371522874
203-903,203,903,0.2713819371522874
203-904,203,904,0.26733252678483405
203-905,203,905,0.26733252678483405
203-907,203,907,0.2565636114348249
203-908,203,908,0.2565636114348249
203-909,203,909,0.2565636114348249
203-910,203,910,0.2757988004746519
203-911,203,911,0.3553205538673186
203-912,203,912,0.35295014708898526
203-913,203,913,0.35295014708898526
203-914,203,914,0.3605614068852631
203-915,203,915,0.3605614068852631
203-916,203,916,0.3605614068852631
203-917,203,917,0.3605614068852631
203-918,203,918,0.3605614068852631
203-919,203,919,0.3605614068852631
203-920,203,920,0.3605614068852631
203-921,203,921,0.3634056003852631
203-922,203,922,0.3634056003852631
203-923,203,923,0.3634056003852631
203-924,203,924,0.3634056003852631
203-925,203,925,0.37247780492973814
203-926,203,926,0.3565219028930041
203-927,203,927,0.3565219028930041
203-928,203,928,0.3565219028930041
203-930,203,930,0.3489742137541152
204-901,204,901,0.2713819371522874
204-902,204,902,0.2713819371522874
204-903,204,903,0.2713819371522874
204-905,204,905,0.26733252678483405
204-906,204,906,0.24778041223042396
204-908,204,908,0.24778041223042396
204-909,204,909,0.24778041223042396
204-910,204,910,0.2757988004746519
204-911,204,911,0.3553205538673186
204-912,204,912,0.35295014708898526
204-913,204,913,0.35295014708898526
204-914,204,914,0.3605614068852631
204-915,204,915,0.3605614068852631
204-916,204,916,0.3605614068852631
204-917,204,917,0.3605614068852631
204-918,204,918,0.3605614068852631
204-919,204,919,0.3605614068852631
204-920,204,920,0.3605614068852631
204-921,204,921,0.3634056003852631
204-922,204,922,0.3634056003852631
204-923,204,923,0.3634056003852631
204-924,204,924,0.3634056003852631
204-926,204,926,0.3565219028930041
204-927,204,927,0.3565219028930041
204-928,204,928,0.3565219028930041
204-929,204,929,0.3489742137541152
204-930,204,930,0.3489742137541152
205-901,205,901,0.2713819371522874
205-902,205,902,0.2713819371522874
205-903,205,903,0.2713819371522874
205-904,205,904,0.26733252678483405
205-905,205,905,0.26733252678483405
205-906,205,906,0.24778041223042396
205-907,205,907,0.24778041223042396
205-908,205,908,0.24778041223042396
205-909,205,909,0.24778041223042396
205-910,205,910,0.26834685373962996
205-912,205,912,0.30514726702063
205-913,205,913,0.30514726702063
205-914,205,914,0.3230659814425638
205-915,205,915,0.3230659814425638
205-917,205,917,0.3230659814425638
205-918,205,918,0.32136318761522104
205-919,205,919,0.32136318761522104
205-920,205,920,0.32136318761522104
205-921,205,921,0.33911544611522104
205-922,205,922,0.33911544611522104
205-924,205,924,0.33911544611522104
205-925,205,925,0.355581403822096
205-926,205,926,0.33574461122633736
205-928,205,928,0.33574461122633736
205-929,205,929,0.3073565820874484
205-930,205,930,0.3073565820874484
206-901,206,901,0.2713819371522874
206-902,206,902,0.2713819371522874
206-903,206,903,0.2713819371522874
206-904,206,904,0.26733252678483405
206-905,206,905,0.26733252678483405
206-906,206,906,0.2473924960341185
206-907,206,907,0.2473924960341185
206-908,206,908,0.2473924960341185
206-909,206,909,0.2473924960341185
206-910,206,910,0.32106236459004284
206-911,206,911,0.30751767379896333
206-913,206,913,0.30514726702063
206-915,206,915,0.3230659814425638
206-916,206,916,0.3230659814425638
206-917,206,917,0.3230659814425638
206-918,206,918,0.32136318761522104
206-919,206,919,0.32136318761522104
206-920,206,920,0.32136318761522104
206-921,206,921,0.33911544611522104
206-922,206,922,0.33911544611522104
206-923,206,923,0.33911544611522104
206-924,206,924,0.33911544611522104
206-925,206,925,0.355581403822096
206-926,206,926,0.32560488806054405
206-927,206,927,0.32560488806054405
206-928,206,928,0.32560488806054405
206-930,206,930,0.2867799756898588
207-901,207,901,0.2713819371522874
207-902,207,902,0.2713819371522874
207-903,207,903,0.2713819371522874
207-904,207,904,0.26733252678483405
207-905,207,905,0.26733252678483405
207-906,207,906,0.2473924960341185
207-908,207,908,0.2473924960341185
207-909,207,909,0.2473924960341185
207-911,207,911,0.3066023467769125
207-913,207,913,0.30423193999857917
207-914,207,914,0.3218793481281903
207-915,207,915,0.3218793481281903
207-916,207,916,0.3218793481281903
207-917,207,917,0.3218793481281903
207-918,207,918,0.31993390104932407
207-920,207,920,0.31993390104932407
207-921,207,921,0.33768615954932407
207-922,207,922,0.33768615954932407
207-923,207,923,0.33768615954932407
207-924,207,924,0.33768615954932407
207-925,207,925,0.34976762950619905
207-926,207,926,0.32122040031054405
207-928,207,928,0.32122040031054405
207-929,207,929,0.2867799756898588
208-901,208,901,0.2713819371522874
208-902,208,902,0.2713819371522874
208-903,208,903,0.2713819371522874
208-904,208,904,0.26733252678483405
208-905,208,905,0.26733252678483405
208-906,208,906,0.2473924960341185
208-907,208,907,0.2473924960341185
208-908,208,908,0.2473924960341185
208-909,208,909,0.2473924960341185
208-910,208,910,0.3228703363726631
208-911,208,911,0.356449224813786
208-912,208,912,0.356449224813786
208-913,208,913,0.356449224813786
208-914,208,914,0.356449224813786
208-916,208,916,0.35127270619305684
208-917,208,917,0.35127270619305684
208-918,208,918,0.33788211568887505
208-920,208,920,0.33513615861224905
208-921,208,921,0.3441350939209586
208-922,208,922,0.3441350939209586
208-923,208,923,0.3441350939209586
208-924,208,924,0.3441350939209586
208-926,208,926,0.32122040031054405
208-927,208,927,0.32122040031054405
208-928,208,928,0.32122040031054405
208-929,208,929,0.2867799756898588
208-930,208,930,0.2867799756898588
209-901,209,901,0.2896232816194124
209-902,209,902,0.2896232816194124
209-903,209,903,0.2896232816194124
209-904,209,904,0.28557387125195904
209-905,209,905,0.28557387125195904
209-906,209,906,0.2473924960341185
209-907,209,907,0.2473924960341185
209-908,209,908,0.2473924960341185
209-909,209,909,0.2473924960341185
209-910,209,910,0.32533136410895236
209-911,209,911,0.35891025255007525
209-912,209,912,0.35891025255007525
209-913,209,913,0.35891025255007525
209-914,209,914,0.35891025255007525
209-915,209,915,0.35891025255007525
209-917,209,917,0.3553606225036067
209-918,209,918,0.3439154790782912
209-919,209,919,0.3349685763005134
209-920,209,920,0.34116952200166517
209-921,209,921,0.3501684573103747
209-922,209,922,0.3501684573103747
209-923,209,923,0.3501684573103747
209-924,209,924,0.3501684573103747
209-925,209,925,0.3575951579179946
