Well,X,Y,NTG
201-901,201,901,0.27270737250891114
201-902,201,902,0.27270737250891114
201-903,201,903,0.27270737250891114
201-904,201,904,0.2635834550149813
201-905,201,905,0.2635834550149813
201-906,201,906,0.2205632487633232
201-908,201,908,0.20844174936885984
201-909,201,909,0.21889322475998166
201-910,201,910,0.27490607162829056
201-911,201,911,0.33549791658809686
201-912,201,912,0.3342506030302097
201-913,201,913,0.38142791172011475
201-915,201,915,0.3988387633441019
201-916,201,916,0.39621300763214123
201-917,201,917,0.3935781150742578
201-918,201,918,0.38316789051670846
201-919,201,919,0.37081923286889446
201-920,201,920,0.3822025417734609
201-921,201,921,0.3864029386529368
201-922,201,922,0.40059317736393824
201-923,201,923,0.4145437056979042
201-925,201,925,0.41013570925440473
201-926,201,926,0.37917297022474344
201-927,201,927,0.37917297022474344
201-928,201,928,0.37917297022474344
201-929,201,929,0.36890874434278065
201-930,201,930,0.36890874434278065
202-901,202,901,0.27270737250891114
202-902,202,902,0.27270737250891114
202-903,202,903,0.27270737250891114
202-904,202,904,0.2635834550149813
202-905,202,905,0.2635834550149813
202-906,202,906,0.2205632487633232
202-907,202,907,0.2098165884311551
202-908,202,908,0.20844174936885984
202-909,202,909,0.21889322475998166
202-910,202,910,0.27490607162829056
202-911,202,911,0.33549791658809686
202-912,202,912,0.3342506030302097
202-913,202,913,0.38142791172011475
202-914,202,914,0.38005742984762747
202-915,202,915,0.3988387633441019
202-916,202,916,0.39621300763214123
202-917,202,917,0.3935781150742578
202-918,202,918,0.38316789051670846
202-919,202,919,0.37081923286889446
202-920,202,920,0.3822025417734609
202-921,202,921,0.3864029386529368
202-923,202,923,0.4145437056979042
202-924,202,924,0.4145437056979042
202-926,202,926,0.37917297022474344
202-927,202,927,0.37917297022474344
202-928,202,928,0.37917297022474344
202-929,202,929,0.36890874434278065
202-930,202,930,0.36890874434278065
203-901,203,901,0.27270737250891114
203-903,203,903,0.27270737250891114
203-904,203,904,0.2635834550149813
203-905,203,905,0.2635834550149813
203-907,203,907,0.2098165884311551
203-908,203,908,0.20844174936885984
203-909,203,909,0.21889322475998166
203-910,203,910,0.27490607162829056
203-911,203,911,0.33549791658809686
203-912,203,912,0.3342506030302097
203-913,203,913,0.38142791172011475
203-914,203,914,0.38005742984762747
203-915,203,915,0.3988387633441019
203-916,203,916,0.39621300763214123
203-917,203,917,0.3935781150742578
203-918,203,918,0.38316789051670846
203-919,203,919,0.37081923286889446
