Well,X,Y,NTG
201-901,201,901,0.2628
201-902,201,902,0.2628
201-903,201,903,0.260025
201-904,201,904,0.2303125
201-905,201,905,0.2303125
201-906,201,906,0.22753749999999998
201-908,201,908,0.2237142857142857
201-909,201,909,0.24682857142857142
201-910,201,910,0.26994285714285715
201-911,201,911,0.29305714285714285
201-912,201,912,0.31617142857142855
201-913,201,913,0.3392857142857143
201-915,201,915,0.36997
201-916,201,916,0.37754
201-917,201,917,0.38510999999999995
201-918,201,918,0.39268
201-919,201,919,0.40025
201-920,201,920,0.40781999999999996
201-921,201,921,0.41539000000000004
201-922,201,922,0.42296
201-923,201,923,0.43052999999999997
201-925,201,925,0.40209999999999996
201-926,201,926,0.39513333333333334
201-927,201,927,0.39513333333333334
201-928,201,928,0.35774000000000006
201-929,201,929,0.3452
201-930,201,930,0.3452
202-901,202,901,0.2628
202-902,202,902,0.2628
202-903,202,903,0.260025
202-904,202,904,0.25725
202-905,202,905,0.2303125
202-906,202,906,0.22753749999999998
202-907,202,907,0.19953333333333334
202-908,202,908,0.22697499999999998
202-909,202,909,0.25008928571428574
202-910,202,910,0.27320357142857143
202-911,202,911,0.29631785714285713
202-912,202,912,0.31943214285714283
202-913,202,913,0.3425464285714286
202-914,202,914,0.35448
202-915,202,915,0.35852666666666666
202-916,202,916,0.36858
202-917,202,917,0.3786333333333333
202-918,202,918,0.3886866666666667
202-919,202,919,0.39874
202-920,202,920,0.40879333333333334
202-921,202,921,0.4188466666666667
202-923,202,923,0.4199666666666667
202-924,202,924,0.41103333333333336
202-926,202,926,0.39513333333333334
202-927,202,927,0.39513333333333334
202-928,202,928,0.35774000000000006
202-929,202,929,0.3452
202-930,202,930,0.3452
203-901,203,901,0.2628
203-903,203,903,0.260025
203-904,203,904,0.25725
203-905,203,905,0.25447499999999995
203-907,203,907,0.19846666666666668
203-908,203,908,0.22590833333333332
203-909,203,909,0.25334999999999996
203-910,203,910,0.2764642857142857
203-911,203,911,0.2995785714285714
203-912,203,912,0.3226928571428571
203-913,203,913,0.3383533333333334
203-914,203,914,0.34656
203-915,203,915,0.3446
203-916,203,916,0.3546533333333333
203-917,203,917,0.3647066666666667
203-918,203,918,0.37476
203-919,203,919,0.38481333333333334
203-920,203,920,0.39486666666666664
203-921,203,921,0.40369047619047616
203-922,203,922,0.4027714285714286
203-923,203,923,0.4122714285714286
203-924,203,924,0.41678333333333334
203-925,203,925,0.40785000000000005
203-926,203,926,0.38282
203-927,203,927,0.37028
203-928,203,928,0.35774000000000006
203-930,203,930,0.3452
204-901,204,901,0.2675692307692308
204-902,204,902,0.2675692307692308
204-903,204,903,0.24413749999999998
204-905,204,905,0.20526666666666668
204-906,204,906,0.20133333333333334
204-908,204,908,0.22484166666666666
204-909,204,909,0.2522833333333333
204-910,204,910,0.279725
204-911,204,911,0.3028392857142857
204-912,204,912,0.32222666666666666
204-913,204,913,0.33043333333333336
204-914,204,914,0.33864
204-915,204,915,0.33668
204-916,204,916,0.3407266666666667
204-917,204,917,0.35078000000000004
204-918,204,918,0.36083333333333334
204-919,204,919,0.3696571428571429
204-920,204,920,0.3784809523809524
204-921,204,921,0.3840571428571428
204-922,204,922,0.37664285714285717
204-923,204,923,0.3776857142857143
204-924,204,924,0.39564285714285713
204-926,204,926,0.38232499999999997
204-927,204,927,0.36354000000000003
204-928,204,928,0.351
204-929,204,929,0.31953333333333334
204-930,204,930,0.31953333333333334
205-901,205,901,0.27233846153846153
205-902,205,902,0.27233846153846153
205-903,205,903,0.2604125
205-904,205,904,0.22547499999999998
205-905,205,905,0.20270000000000002
205-906,205,906,0.1987666666666667
205-907,205,907,0.19483333333333336
205-908,205,908,0.23990000000000003
205-909,205,909,0.2619666666666667
205-910,205,910,0.28403333333333336
205-912,205,912,0.3143066666666667
205-913,205,913,0.3225133333333333
205-914,205,914,0.33071999999999996
205-915,205,915,0.32875999999999994
205-917,205,917,0.33562380952380955
205-918,205,918,0.344447619047619
205-919,205,919,0.3532714285714285
205-920,205,920,0.3620952380952381
205-921,205,921,0.35792857142857143
205-922,205,922,0.3505142857142857
205-924,205,924,0.36719999999999997
205-925,205,925,0.39130000000000004
205-926,205,926,0.370075
205-928,205,928,0.3253333333333333
205-929,205,929,0.2938666666666667
205-930,205,930,0.2938666666666667
206-901,206,901,0.2771076923076923
