Well,X,Y,NTG
201-901,201,901,0.2628
201-902,201,902,0.2628
201-903,201,903,0.2563492734825124
201-904,201,904,0.22921771210372632
201-905,201,905,0.22921771210372632
201-906,201,906,0.24003680815454012
201-908,201,908,0.20814649588337575
201-909,201,909,0.22654219196996175
201-910,201,910,0.2523911261040139
201-911,201,911,0.2822973361297881
201-912,201,912,0.3128648598915399
201-913,201,913,0.3406977352335253
201-915,201,915,0.37972414239136576
201-916,201,916,0.3963254398197463
201-917,201,917,0.4116621139469805
201-918,201,918,0.4251923864349076
201-919,201,919,0.43637447894536635
201-920,201,920,0.44466661314019584
201-921,201,921,0.44952701068123496
201-922,201,922,0.4504138932303229
201-923,201,923,0.44678548244929817
201-925,201,925,0.40209999999999996
201-926,201,926,0.3911050684564867
201-927,201,927,0.3911050684564867
201-928,201,928,0.3573990091776235
201-929,201,929,0.3452
201-930,201,930,0.3452
202-901,202,901,0.2628
202-902,202,902,0.2628
202-903,202,903,0.2563492734825124
202-904,202,904,0.2596924251778114
202-905,202,905,0.22921771210372632
202-906,202,906,0.24003680815454012
202-907,202,907,0.21581081634338256
202-908,202,908,0.22970482910353582
202-909,202,909,0.24014852104131418
202-910,202,910,0.259762927320212
202-911,202,911,0.28403839871010356
202-912,202,912,0.30925167039664525
202-913,202,913,0.3302148052149399
202-914,202,914,0.34153097786889747
202-915,202,915,0.35163084458615046
202-916,202,916,0.36797551632044
202-917,202,917,0.3852832369465082
202-918,202,918,0.4001537187340713
202-919,202,919,0.4122687988081657
202-920,202,920,0.42131031429382776
202-921,202,921,0.4269601023160938
202-923,202,923,0.42731118809259283
202-924,202,924,0.4197808884809157
202-926,202,926,0.3911050684564867
202-927,202,927,0.3911050684564867
202-928,202,928,0.3573990091776235
202-929,202,929,0.3452
202-930,202,930,0.3452
203-901,203,901,0.2628
203-903,203,903,0.2563492734825124
203-904,203,904,0.2596924251778114
203-905,203,905,0.2618143642842047
203-907,203,907,0.21168640364242952
203-908,203,908,0.23240912253820004
203-909,203,909,0.25807845897973647
203-910,203,910,0.27053663074335266
203-911,203,911,0.2904569075388096
203-912,203,912,0.30977990222155066
203-913,203,913,0.32021112891391834
203-914,203,914,0.32411942442242153
203-915,203,915,0.32834686098719235
203-916,203,916,0.3369125712012897
203-917,203,917,0.35038003741337387
203-918,203,918,0.3642745398542942
203-919,203,919,0.377513240025511
203-920,203,920,0.39064897493064754
203-921,203,921,0.406042084145883
203-922,203,922,0.40009338183297605
203-923,203,923,0.40967004694508974
203-924,203,924,0.4222389093881941
203-925,203,925,0.4166523510312651
203-926,203,926,0.3910535158973434
203-927,203,927,0.37088735218123137
203-928,203,928,0.3573990091776235
203-930,203,930,0.3452
204-901,204,901,0.26169979385655634
204-902,204,902,0.26169979385655634
204-903,204,903,0.23157065072444677
204-905,204,905,0.20527142083868394
204-906,204,906,0.19966146184257585
204-908,204,908,0.21598812180816174
204-909,204,909,0.2539022980885189
204-910,204,910,0.28408785936606895
204-911,204,911,0.29798516974278133
204-912,204,912,0.31053615093984205
204-913,204,913,0.30976387303818126
204-914,204,914,0.313182382041497
204-915,204,915,0.31800961141180667
204-916,204,916,0.32176841216669094
204-917,204,917,0.3322612368922718
204-918,204,918,0.3460382138859008
204-919,204,919,0.36465516560535216
204-920,204,920,0.38606384241329783
204-921,204,921,0.38826974673443
204-922,204,922,0.3678672462374424
204-923,204,923,0.3696529091364857
204-924,204,924,0.3960480768297698
204-926,204,926,0.39911061060963166
204-927,204,927,0.3724962798968688
204-928,204,928,0.34737617540064586
204-929,204,929,0.3171172148733447
204-930,204,930,0.3171172148733447
205-901,205,901,0.25846861114704167
205-902,205,902,0.25846861114704167
205-903,205,903,0.24477517244204366
205-904,205,904,0.19051379912677005
205-905,205,905,0.179011210379114
205-906,205,906,0.18113718167323514
205-907,205,907,0.18796592773578447
205-908,205,908,0.2214146547977486
205-909,205,909,0.24691147196623864
205-910,205,910,0.28167928879700427
205-912,205,912,0.3099035563735126
205-913,205,913,0.30707649978120427
205-914,205,914,0.3117368931070483
205-915,205,915,0.3208652243983676
205-917,205,917,0.337008688612837
205-918,205,918,0.35227173254127725
205-919,205,919,0.3683140401053833
205-920,205,920,0.37531932424207276
205-921,205,921,0.3567202735272999
205-922,205,922,0.33960045658382804
205-924,205,924,0.36571564009587404
205-925,205,925,0.3845640426414323
