Well,X,Y,NTG
201-901,201,901,0.23699999999999996
201-902,201,902,0.23935312499999997
201-903,201,903,0.23263548387096777
201-904,201,904,0.2273357142857143
201-905,201,905,0.22524155844155844
201-906,201,906,0.214174358974359
201-908,201,908,0.223965
201-909,201,909,0.23872727272727276
201-910,201,910,0.2743543859649123
201-911,201,911,0.29837500000000006
201-912,201,912,0.31238181818181826
201-913,201,913,0.33368888888888887
201-915,201,915,0.3471560165975104
201-916,201,916,0.3713823529411765
201-917,201,917,0.38447131782945737
201-918,201,918,0.3886413793103448
201-919,201,919,0.3927448979591837
201-920,201,920,0.4144454545454546
201-921,201,921,0.41507222222222223
201-922,201,922,0.41902307692307694
201-923,201,923,0.41873200000000005
201-925,201,925,0.42011290322580647
201-926,201,926,0.40864827586206903
201-927,201,927,0.3904857142857143
201-928,201,928,0.3836870967741936
201-929,201,929,0.3584363636363637
201-930,201,930,0.35886
202-901,202,901,0.24154669811320753
202-902,202,902,0.24672577319587627
202-903,202,903,0.23702207792207794
202-904,202,904,0.2302941176470588
202-905,202,905,0.23163529411764705
202-906,202,906,0.22564800000000002
202-907,202,907,0.2122681818181818
202-908,202,908,0.21365
202-909,202,909,0.23260806451612903
202-910,202,910,0.24055
202-911,202,911,0.29881355932203396
202-912,202,912,0.3163112903225807
202-913,202,913,0.33460000000000006
202-914,202,914,0.3442210526315789
202-915,202,915,0.3522174528301886
202-916,202,916,0.3740617647058823
202-917,202,917,0.364652427184466
202-918,202,918,0.3591257053291536
202-919,202,919,0.3696153846153847
202-920,202,920,0.4086625
202-921,202,921,0.4162176470588236
202-923,202,923,0.41287142857142856
202-924,202,924,0.4208882352941176
202-926,202,926,0.4029391304347827
202-927,202,927,0.3800823529411765
202-928,202,928,0.37289870129870134
202-929,202,929,0.34360882352941174
202-930,202,930,0.32672727272727276
203-901,203,901,0.24712825112107625
203-903,203,903,0.2413672131147541
203-904,203,904,0.22924444444444447
203-905,203,905,0.23524615384615383
203-907,203,907,0.21879999999999997
203-908,203,908,0.2173413043478261
203-909,203,909,0.23689285714285716
203-910,203,910,0.2728
203-911,203,911,0.2775826086956522
203-912,203,912,0.30935
203-913,203,913,0.32711538461538464
203-914,203,914,0.3333243243243244
203-915,203,915,0.34928421052631586
203-916,203,916,0.3619063829787234
203-917,203,917,0.3588285714285714
203-918,203,918,0.34981363636363644
203-919,203,919,0.3461923076923078
203-920,203,920,0.3577074074074074
203-921,203,921,0.40292608695652177
203-922,203,922,0.4075590909090909
203-923,203,923,0.39474000000000004
203-924,203,924,0.40432727272727276
203-925,203,925,0.4054870967741936
203-926,203,926,0.38511000000000006
203-927,203,927,0.37374
203-928,203,928,0.36439545454545463
203-930,203,930,0.32325588235294117
204-901,204,901,0.23655714285714285
204-902,204,902,0.24064210526315788
204-903,204,903,0.2264375
204-905,204,905,0.22197777777777775
204-906,204,906,0.21958181818181818
204-908,204,908,0.20931818181818185
204-909,204,909,0.2586625
204-910,204,910,0.2848235294117647
204-911,204,911,0.29371363636363634
204-912,204,912,0.30005263157894735
204-913,204,913,0.30232666666666663
204-914,204,914,0.32630625
204-915,204,915,0.3469887096774194
204-916,204,916,0.3613882352941176
204-917,204,917,0.34805909090909093
204-918,204,918,0.3148191489361702
204-919,204,919,0.3362118644067798
204-920,204,920,0.34592105263157896
204-921,204,921,0.3804477611940298
204-922,204,922,0.39410000000000006
204-923,204,923,0.38082800000000006
204-924,204,924,0.39933076923076927
204-926,204,926,0.3896680000000001
204-927,204,927,0.35881538461538465
204-928,204,928,0.34696000000000005
204-929,204,929,0.3187960000000001
204-930,204,930,0.3099529411764706
205-901,205,901,0.23480547945205482
205-902,205,902,0.23655714285714285
205-903,205,903,0.2286648648648649
205-904,205,904,0.22124285714285713
205-905,205,905,0.21298235294117646
205-906,205,906,0.21450999999999998
205-907,205,907,0.20565600000000003
205-908,205,908,0.23074705882352942
205-909,205,909,0.2644058823529412
205-910,205,910,0.29745600000000005
205-912,205,912,0.30072352941176467
205-913,205,913,0.30315454545454545
205-914,205,914,0.30944782608695653
205-915,205,915,0.33498125
205-917,205,917,0.3498055555555556
205-918,205,918,0.3146322033898306
205-919,205,919,0.31386000000000003
205-920,205,920,0.337034328358209
205-921,205,921,0.3453333333333333
205-922,205,922,0.36648598130841126
205-924,205,924,0.36929200000000006
205-925,205,925,0.3846785714285714
205-926,205,926,0.35849230769230767
205-928,205,928,0.3252615384615385
205-929,205,929,0.3030428571428571
205-930,205,930,0.29997
206-901,206,901,0.22193134328358208
206-902,206,902,0.22368266666666667
206-903,206,903,0.2171298245614035
206-904,206,904,0.2122304347826087
206-905,206,905,0.2102071428571429
206-906,206,906,0.20954117647058826
206-907,206,907,0.216275
206-908,206,908,0.2437411764705883
206-909,206,909,0.28634444444444446
206-910,206,910,0.30826428571428566
206-911,206,911,0.30229999999999996
206-913,206,913,0.30465294117647057
206-915,206,915,0.33102000000000004
206-916,206,916,0.349
206-917,206,917,0.34880000000000005
206-918,206,918,0.3217168831168832
206-919,206,919,0.31180526315789475
206-920,206,920,0.31386000000000003
206-921,206,921,0.337034328358209
206-922,206,922,0.3453333333333333
206-923,206,923,0.35725000000000007
206-924,206,924,0.35451875000000005
206-925,206,925,0.3592444444444445
206-926,206,926,0.3322900000000001
206-927,206,927,0.31022727272727274
206-928,206,928,0.29256428571428567
206-930,206,930,0.28296
207-901,207,901,0.24526835443037973
207-902,207,902,0.2446414414414414
207-903,207,903,0.24098269230769231
207-904,207,904,0.2367548387096774
207-905,207,905,0.2060608695652174
207-906,207,906,0.2189714285714286
207-908,207,908,0.23398750000000001
207-909,207,909,0.2806720000000001
207-911,207,911,0.29885
207-913,207,913,0.29498571428571435
207-914,207,914,0.32404285714285713
207-915,207,915,0.35604615384615385
207-916,207,916,0.38394000000000006
207-917,207,917,0.33961111111111114
207-918,207,918,0.325875
207-920,207,920,0.31888947368421056
207-921,207,921,0.32408181818181825
207-922,207,922,0.33197142857142864
207-923,207,923,0.3410375
207-924,207,924,0.35422142857142863
207-925,207,925,0.34574375
207-926,207,926,0.3188500000000001
207-928,207,928,0.2919357142857143
207-929,207,929,0.2786727272727273
208-901,208,901,0.250776
208-902,208,902,0.2508714285714286
208-903,208,903,0.2497304347826087
208-904,208,904,0.24167894736842105
208-905,208,905,0.23311355932203393
208-906,208,906,0.22695454545454552
208-907,208,907,0.217335
208-908,208,908,0.239845945945946
208-909,208,909,0.2752506493506494
208-910,208,910,0.29307727272727274
208-911,208,911,0.29954000000000003
208-912,208,912,0.3042769230769231
208-913,208,913,0.32454000000000005
208-914,208,914,0.35879285714285714
208-916,208,916,0.38239411764705883
208-917,208,917,0.36602727272727276
208-918,208,918,0.3205
208-920,208,920,0.3127461538461539
208-921,208,921,0.3202562500000001
208-922,208,922,0.3320285714285715
208-923,208,923,0.3453875
208-924,208,924,0.3427857142857143
208-926,208,926,0.31801250000000003
208-927,208,927,0.31470869565217396
208-928,208,928,0.2954777777777778
208-929,208,929,0.28613157894736846
208-930,208,930,0.27915981308411214
209-901,209,901,0.3002855670103093
209-902,209,902,0.3002697183098591
209-903,209,903,0.2904936170212766
209-904,209,904,0.2534118644067797
209-905,209,905,0.242175
209-906,209,906,0.23188245614035088
209-907,209,907,0.22211818181818185
209-908,209,908,0.24182727272727278
209-909,209,909,0.2734789473684211
209-910,209,910,0.28516956521739134
209-911,209,911,0.2998357142857143
209-912,209,912,0.3124764705882353
209-913,209,913,0.3638555555555556
209-914,209,914,0.38688
