Well,X,Y,NTG
201-901,201,901,0.2742739999999997
201-902,201,902,0.27398499999999965
201-903,201,903,0.27683899999999967
201-904,201,904,0.2552129999999997
201-905,201,905,0.24378099999999975
201-906,201,906,0.2535839999999998
201-908,201,908,0.24863500000000008
201-909,201,909,0.270595
201-910,201,910,0.29992099999999994
201-911,201,911,0.3282139999999999
201-912,201,912,0.3251449999999998
201-913,201,913,0.36020699999999983
201-915,201,915,0.3887139999999998
201-916,201,916,0.3931149999999998
201-917,201,917,0.3926619999999997
201-918,201,918,0.3916229999999997
201-919,201,919,0.4083839999999996
201-920,201,920,0.41878299999999946
201-921,201,921,0.4221179999999994
201-922,201,922,0.4221179999999994
201-923,201,923,0.4235909999999994
201-925,201,925,0.4122079999999997
201-926,201,926,0.4066749999999997
201-927,201,927,0.3995639999999998
201-928,201,928,0.3885199999999997
201-929,201,929,0.37570599999999965
201-930,201,930,0.3669919999999997
202-901,202,901,0.2742739999999997
202-902,202,902,0.27398499999999965
202-903,202,903,0.27683899999999967
202-904,202,904,0.2551209999999997
202-905,202,905,0.24368899999999974
202-906,202,906,0.25415699999999974
202-907,202,907,0.22923799999999997
202-908,202,908,0.24920800000000007
202-909,202,909,0.27174099999999995
202-910,202,910,0.3010669999999999
202-911,202,911,0.32974899999999985
202-912,202,912,0.3266799999999998
202-913,202,913,0.36231499999999983
202-914,202,914,0.3794009999999999
202-915,202,915,0.3904739999999998
202-916,202,916,0.3949249999999998
202-917,202,917,0.3944719999999997
202-918,202,918,0.3930729999999998
202-919,202,919,0.40873799999999955
202-920,202,920,0.41760499999999945
202-921,202,921,0.4209399999999994
202-923,202,923,0.42169299999999943
202-924,202,924,0.4183039999999996
202-926,202,926,0.4036529999999998
202-927,202,927,0.39722499999999983
202-928,202,928,0.3869929999999998
202-929,202,929,0.37417899999999976
202-930,202,930,0.3654649999999997
203-901,203,901,0.2730849999999997
203-903,203,903,0.27398899999999965
203-904,203,904,0.2495199999999997
203-905,203,905,0.23765999999999965
203-907,203,907,0.22305399999999967
203-908,203,908,0.24579799999999985
203-909,203,909,0.2713699999999998
203-910,203,910,0.2989299999999997
203-911,203,911,0.32000999999999974
203-912,203,912,0.31633699999999976
203-913,203,913,0.3470859999999999
203-914,203,914,0.36262099999999997
203-915,203,915,0.36916
203-916,203,916,0.37297499999999995
203-917,203,917,0.3724989999999999
203-918,203,918,0.37130399999999986
203-919,203,919,0.3784849999999997
203-920,203,920,0.38585299999999956
203-921,203,921,0.39112299999999955
203-922,203,922,0.3909939999999996
203-923,203,923,0.39221699999999954
203-924,203,924,0.39033699999999966
203-925,203,925,0.38944599999999974
203-926,203,926,0.38341799999999976
203-927,203,927,0.3731539999999998
203-928,203,928,0.3640319999999997
203-930,203,930,0.3415439999999997
204-901,204,901,0.2625799999999996
204-902,204,902,0.26009399999999955
204-903,204,903,0.2629479999999996
204-905,204,905,0.22627999999999962
204-906,204,906,0.23535599999999962
204-908,204,908,0.23441099999999981
204-909,204,909,0.26171349999999977
204-910,204,910,0.29178549999999975
204-911,204,911,0.3108084999999998
204-912,204,912,0.30614249999999976
204-913,204,913,0.33553949999999977
204-914,204,914,0.34769150000000004
204-915,204,915,0.3550225
204-916,204,916,0.35906750000000004
204-917,204,917,0.3585455
204-918,204,918,0.35755649999999994
204-919,204,919,0.3631164999999998
204-920,204,920,0.36959449999999977
204-921,204,921,0.37469349999999985
204-922,204,922,0.3762454999999998
204-923,204,923,0.37780949999999974
204-924,204,924,0.37929149999999984
204-926,204,926,0.3783924999999999
204-927,204,927,0.3676564999999999
204-928,204,928,0.3577474999999998
204-929,204,929,0.3428559999999996
204-930,204,930,0.33366099999999965
205-901,205,901,0.2693239999999996
205-902,205,902,0.2672659999999996
205-903,205,903,0.27011999999999964
205-904,205,904,0.24427699999999963
205-905,205,905,0.22992099999999965
205-906,205,906,0.2392144999999997
205-907,205,907,0.21437049999999963
205-908,205,908,0.23882049999999982
205-909,205,909,0.2674209999999998
205-910,205,910,0.2979669999999999
205-912,205,912,0.29869999999999997
205-913,205,913,0.3232340000000001
205-914,205,914,0.3362740000000002
205-915,205,915,0.3395990000000001
205-917,205,917,0.3428220000000001
205-918,205,918,0.3376099999999999
205-919,205,919,0.3363129999999998
205-920,205,920,0.3391809999999998
205-921,205,921,0.3445169999999999
205-922,205,922,0.34794899999999984
205-924,205,924,0.35098249999999986
205-925,205,925,0.35494949999999986
205-926,205,926,0.3525294999999998
205-928,205,928,0.33877849999999976
205-929,205,929,0.31294399999999994
205-930,205,930,0.3060509999999999
206-901,206,901,0.27000799999999964
206-902,206,902,0.2685699999999996
206-903,206,903,0.2714239999999996
206-904,206,904,0.24681899999999962
206-905,206,905,0.2314009999999997
206-906,206,906,0.2383984999999997
206-907,206,907,0.2129884999999997
206-908,206,908,0.23942649999999982
206-909,206,909,0.2714329999999997
206-910,206,910,0.3056379999999998
206-911,206,911,0.30941599999999986
206-913,206,913,0.31788199999999994
206-915,206,915,0.3342420000000002
206-916,206,916,0.3377350000000002
206-917,206,917,0.33652800000000005
206-918,206,918,0.3288839999999999
206-919,206,919,0.32422699999999977
206-920,206,920,0.3263379999999998
206-921,206,921,0.3280929999999998
206-922,206,922,0.3307689999999998
206-923,206,923,0.3348289999999999
206-924,206,924,0.33372749999999984
206-925,206,925,0.3331414999999998
206-926,206,926,0.32739649999999976
206-927,206,927,0.3210324999999997
206-928,206,928,0.3184184999999998
206-930,206,930,0.28566600000000003
207-901,207,901,0.27000799999999964
207-902,207,902,0.2685699999999996
207-903,207,903,0.2714239999999996
207-904,207,904,0.24681899999999962
207-905,207,905,0.2309989999999997
207-906,207,906,0.23799649999999967
207-908,207,908,0.2362604999999998
207-909,207,909,0.26899199999999973
207-911,207,911,0.30053299999999966
207-913,207,913,0.30786699999999984
207-914,207,914,0.3240699999999999
207-915,207,915,0.32863599999999993
207-916,207,916,0.3338830000000001
207-917,207,917,0.33265499999999976
207-918,207,918,0.3237839999999996
207-920,207,920,0.3201879999999996
207-921,207,921,0.3203519999999997
207-922,207,922,0.32231399999999966
207-923,207,923,0.3266439999999997
207-924,207,924,0.32242549999999975
207-925,207,925,0.3219494999999998
207-926,207,926,0.31387349999999964
207-928,207,928,0.3086334999999998
207-929,207,929,0.284742
208-901,208,901,0.2786649999999997
208-902,208,902,0.2762069999999997
208-903,208,903,0.2792069999999997
208-904,208,904,0.2588529999999998
208-905,208,905,0.24176199999999973
208-906,208,906,0.2491374999999998
208-907,208,907,0.22150349999999971
208-908,208,908,0.24525649999999985
208-909,208,909,0.2743989999999998
208-910,208,910,0.31097999999999987
208-911,208,911,0.31895499999999977
208-912,208,912,0.30910299999999974
208-913,208,913,0.33863800000000027
208-914,208,914,0.3587090000000003
208-916,208,916,0.3587570000000004
208-917,208,917,0.35790400000000033
208-918,208,918,0.32213099999999995
208-920,208,920,0.311836
208-921,208,921,0.311123
208-922,208,922,0.31236499999999995
208-923,208,923,0.31912100000000004
208-924,208,924,0.3173575
208-926,208,926,0.31224249999999987
208-927,208,927,0.3076364999999998
208-928,208,928,0.30878349999999993
208-929,208,929,0.2913180000000001
208-930,208,930,0.287618
209-901,209,901,0.31561300000000003
209-902,209,902,0.313155
209-903,209,903,0.3161550000000001
209-904,209,904,0.3051410000000001
209-905,209,905,0.26498800000000006
209-906,209,906,0.26311049999999986
209-907,209,907,0.22697349999999972
209-908,209,908,0.24856349999999985
209-909,209,909,0.2752054999999999
209-910,209,910,0.3130564999999999
209-911,209,911,0.3268075
209-912,209,912,0.31924149999999984
209-913,209,913,0.35139550000000036
209-914,209,914,0.37270250000000016
209-915,209,915,0.37362650000000047
209-917,209,917,0.3717695000000004
209-918,209,918,0.3477265000000002
209-919,209,919,0.3368935000000002
209-920,209,920,0.33902850000000023
209-921,209,921,0.33602750000000015
209-922,209,922,0.33718950000000014
209-923,209,923,0.3448525000000002
209-924,209,924,0.3372070000000003
209-925,209,925,0.3393120000000003
209-926,209,926,0.3315590000000001
209-927,209,927,0.33093999999999996
209-928,209,928,0.33025200000000005
209-929,209,929,0.30911500000000014
209-930,209,930,0.30317200000000005
210-901,210,901,0.3258930000000001
210-902,210,902,0.323435
210-903,210,903,0.3264350000000001
210-904,210,904,0.31853700000000024
210-905,210,905,0.2780520000000002
210-906,210,906,0.27199249999999997
210-907,210,907,0.23867449999999973
210-908,210,908,0.2564355
210-909,210,909,0.2827325
210-910,210,910,0.3193794999999998
210-911,210,911,0.33265449999999985
210-912,210,912,0.3260804999999998
210-913,210,913,0.36325549999999995
210-915,210,915,0.3862424999999999
