Well,X,Y,NTG
201-901,201,901,0.2511269873539669
201-902,201,902,0.2521706678812946
201-903,201,903,0.24964791604609848
201-904,201,904,0.24879256597574312
201-905,201,905,0.24653173901945108
201-906,201,906,0.23996648907198007
201-908,201,908,0.2473553088874348
201-909,201,909,0.2600861472628797
201-910,201,910,0.28233360427657217
201-911,201,911,0.29974286756304214
201-912,201,912,0.31377252514132326
201-913,201,913,0.3354390925639381
201-915,201,915,0.34604064792372224
201-916,201,916,0.36103034051981653
201-917,201,917,0.36876563370358506
201-918,201,918,0.37361372492551725
201-919,201,919,0.3802161098498007
201-920,201,920,0.3924109849320672
201-921,201,921,0.39549687094077135
201-922,201,922,0.400689948724106
201-923,201,923,0.3990006715171214
201-925,201,925,0.3999345276469918
201-926,201,926,0.3898676061153278
201-927,201,927,0.37656754372154766
201-928,201,928,0.37068416741620475
201-929,201,929,0.3552403518025429
201-930,201,930,0.35480319421126244
202-901,202,901,0.25379029545054427
202-902,202,902,0.2587207111650489
202-903,202,903,0.253505307153132
202-904,202,904,0.2511887261586926
202-905,202,905,0.2527182973338168
202-906,202,906,0.24852929747317695
202-907,202,907,0.23958596971235785
202-908,202,908,0.24457853454947753
202-909,202,909,0.2578509011754774
202-910,202,910,0.2670799920038711
202-911,202,911,0.30280425571169384
202-912,202,912,0.31626902735060847
202-913,202,913,0.3308466906458322
202-914,202,914,0.3432124630819771
202-915,202,915,0.34756008705990005
202-916,202,916,0.3603475737965939
202-917,202,917,0.35947516051238937
202-918,202,918,0.35940607453918116
202-919,202,919,0.3664922106627031
202-920,202,920,0.3894236897826172
202-921,202,921,0.39591522257146106
202-923,202,923,0.3948709706277926
202-924,202,924,0.39917104485181276
202-926,202,926,0.3859723724040538
202-927,202,927,0.3704694081820804
202-928,202,928,0.3641830753909354
202-929,202,929,0.34651226279807024
202-930,202,930,0.33728400892098587
203-901,203,901,0.2592340279580836
203-903,203,903,0.2576370400751702
203-904,203,904,0.2502877282054262
203-905,203,905,0.25468095333617824
203-907,203,907,0.24347638125723434
203-908,203,908,0.24659259980871107
203-909,203,909,0.26185121509598086
203-910,203,910,0.28504655446726757
203-911,203,911,0.2923685284627629
203-912,203,912,0.3135079823766592
203-913,203,913,0.3248864016982532
203-914,203,914,0.3316390784403739
203-915,203,915,0.3459267487904273
203-916,203,916,0.353899991727209
203-917,203,917,0.35445885075249467
203-918,203,918,0.35291955321389634
203-919,203,919,0.35136069439426
203-920,203,920,0.3592964683198084
203-921,203,921,0.38350395070811416
203-922,203,922,0.3890490039158404
203-923,203,923,0.37955829851577905
203-924,203,924,0.38618205339215095
203-925,203,925,0.38767015540353156
203-926,203,926,0.3735215535236912
203-927,203,927,0.3647081889624253
203-928,203,928,0.3574631926765325
203-930,203,930,0.3338712477323232
204-901,204,901,0.2537844565376647
204-902,204,902,0.25738827220665855
204-903,204,903,0.24882085993314423
204-905,204,905,0.2461373646236671
204-906,204,906,0.24466684454248427
204-908,204,908,0.24153970342808997
204-909,204,909,0.2739445649074469
204-910,204,910,0.294156774089889
204-911,204,911,0.3027450864212923
204-912,204,912,0.30722497572699736
