Well,X,Y,NTG
201-901,201,901,0.2355662068965517
201-902,201,902,0.23707067243797988
201-903,201,903,0.2331774162904247
201-904,201,904,0.23110399063779988
201-905,201,905,0.22859369027817608
201-906,201,906,0.2200610192024498
201-908,201,908,0.22899972242511787
201-909,201,909,0.24387575694789299
201-910,201,910,0.2723224852924152
201-911,201,911,0.29362092212154356
201-912,201,912,0.30945084563441183
201-913,201,913,0.33381680890723486
201-915,201,915,0.3464974160221396
201-916,201,916,0.3657192964655295
201-917,201,917,0.3757849539260373
201-918,201,918,0.3810880835702744
201-919,201,919,0.38791740210719305
201-920,201,920,0.4040517734857515
201-921,201,921,0.40692184274709087
201-922,201,922,0.41247371662701554
201-923,201,923,0.41091555237797245
201-925,201,925,0.41208106516858906
201-926,201,926,0.4003698439576398
201-927,201,927,0.3841455423467523
201-928,201,928,0.37727666681030697
201-929,201,929,0.3574000402768044
201-930,201,930,0.35712120136908154
202-901,202,901,0.23904186734214378
202-902,202,902,0.24466893752392516
202-903,202,903,0.2376632754669266
202-904,202,904,0.23394875953391958
202-905,202,905,0.23562825804764814
202-906,202,906,0.23045172597391944
202-907,202,907,0.21925117899266977
202-908,202,908,0.22398626815733635
202-909,202,909,0.24038452812043642
202-910,202,910,0.25048074714160795
202-911,202,911,0.2964225278578641
202-912,202,912,0.3126259407684686
202-913,202,913,0.33000525041490447
202-914,202,914,0.3432785552063249
202-915,202,915,0.349095445918053
202-916,202,916,0.3657868149447109
202-917,202,917,0.36267388905810805
202-918,202,918,0.36123534922468853
202-919,202,919,0.37008213014656016
202-920,202,920,0.3999829968320542
202-921,202,921,0.40757530209744397
202-923,202,923,0.40582276089103475
202-924,202,924,0.4116029221876016
202-926,202,926,0.39552099956058173
202-927,202,927,0.3761891569344636
202-928,202,928,0.36886992251983985
202-929,202,929,0.3460278709164705
202-930,202,930,0.3337037874016526
203-901,203,901,0.2452206991639282
203-903,203,903,0.24238006345404742
203-904,203,904,0.2328947171505162
203-905,203,905,0.23825444461385986
203-907,203,907,0.22430087075872757
203-908,203,908,0.22667771997558944
203-909,203,909,0.24497069926302634
203-910,203,910,0.27432083329811957
203-911,203,911,0.2819522733991673
203-912,203,912,0.30846238209645843
203-913,203,913,0.3228977198566385
203-914,203,914,0.3303840801947716
203-915,203,915,0.34692779766015647
203-916,203,916,0.357086346184489
203-917,203,917,0.3568105405812171
203-918,203,918,0.35320945951207605
203-919,203,919,0.3509357742573398
203-920,203,920,0.3607853838362062
203-921,203,921,0.39334694496250533
203-922,203,922,0.3993784127550672
203-923,203,923,0.38783627216628774
203-924,203,924,0.3960514560109565
203-925,203,925,0.39764927508275205
203-926,203,926,0.3801266704554123
203-927,203,927,0.36954145437794234
203-928,203,928,0.36084044316601344
203-930,203,930,0.3298371045159202
204-901,204,901,0.23779286173633438
204-902,204,902,0.24198052395351033
204-903,204,903,0.23090495293618296
204-905,204,905,0.22743322190579512
204-906,204,906,0.2255427026108106
204-908,204,908,0.22023393014716158
204-909,204,909,0.2610330091758613
204-910,204,910,0.2853300340331899
204-911,204,911,0.2950991078377118
204-912,204,912,0.30061913396964934
204-913,204,913,0.3064347623254856
204-914,204,914,0.32564036144593683
204-915,204,915,0.34184322242288734
204-916,204,916,0.3575822312143181
204-917,204,917,0.3495062709595525
204-918,204,918,0.326604424443276
204-919,204,919,0.3421731865155454
204-920,204,920,0.3491744152809592
204-921,204,921,0.37438873393190186
204-922,204,922,0.38582563524463415
204-923,204,923,0.37555565454396994
204-924,204,924,0.3911352904286073
204-926,204,926,0.3827279615648594
204-927,204,927,0.35800978146343965
204-928,204,928,0.34789888395996754
204-929,204,929,0.3254269342590376
204-930,204,930,0.3182212345054787
205-901,205,901,0.23802493189861185
205-902,205,902,0.24268202987517903
205-903,205,903,0.2351808065752542
205-904,205,904,0.2284948467669244
205-905,205,905,0.22389612889764304
205-906,205,906,0.22449581321285048
205-907,205,907,0.21707856665673564
205-908,205,908,0.2403548806164891
205-909,205,909,0.2696053293587706
205-910,205,910,0.2976593096587037
205-912,205,912,0.302679684549927
205-913,205,913,0.30662435628836415
205-914,205,914,0.3142968397484567
205-915,205,915,0.3356815003181724
205-917,205,917,0.35044101949634443
205-918,205,918,0.3262834702794913
205-919,205,919,0.3244409487916174
205-920,205,920,0.3412689202125619
205-921,205,921,0.3466676300171819
205-922,205,922,0.3628627235992538
205-924,205,924,0.36592662918183205
205-925,205,925,0.3785418164919449
205-926,205,926,0.35714526736785285
205-928,205,928,0.33035708706542405
205-929,205,929,0.3103200630565538
205-930,205,930,0.3080170966351182
206-901,206,901,0.23389154938615433
206-902,206,902,0.2348153916598129
206-903,206,903,0.2302227972910849
206-904,206,904,0.22494816257327602
206-905,206,905,0.22328925940138145
206-906,206,906,0.22317512463118042
206-907,206,907,0.22605046401284049
206-908,206,908,0.2526068464885955
206-909,206,909,0.28754178211063347
206-910,206,910,0.305921681739593
206-911,206,911,0.30336366082482735
206-913,206,913,0.3084236671922327
206-915,206,915,0.3335054934210526
206-916,206,916,0.34773670336475604
206-917,206,917,0.34797441885047753
206-918,206,918,0.3297032664239554
206-919,206,919,0.32098506428809925
206-920,206,920,0.3235019204380187
206-921,206,921,0.3403032148383527
206-922,206,922,0.34633020769133727
206-923,206,923,0.3555271399058878
206-924,206,924,0.354383245647497
206-925,206,925,0.35728140737338365
206-926,206,926,0.33475497402402965
206-927,206,927,0.3171494079965836
206-928,206,928,0.3017418016440858
206-930,206,930,0.2902845486641221
207-901,207,901,0.25064866346636816
207-902,207,902,0.2502672427181624
207-903,207,903,0.2470687818795897
207-904,207,904,0.2439419385067903
207-905,207,905,0.22371353693945223
207-906,207,906,0.22890626875563058
207-908,207,908,0.24566920122447938
